算法名,算法用途,算法困难问题类型,具体算法困难问题,作者团队,官网链接,源代码链接,标准化文件链接,所有评论,算法特色简介,算法后续进展
QR-UOV,签名,多变量,Unbalanced Oil-and-Vinegar (UOV) problem and Quotient-Ring Multivariate Quadratic (QR-MQ) problem,Rika Akiyama 等,http://info.isl.ntt.co.jp/crypt/qruov/,https://github.com/qruov/qruov,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/qruov-spec-round2-web.pdf,,QR-UOV 是把 UOV 签名嵌入商环结构的多变量方案：通过将 Fq[x]/(f) 映射为矩阵压缩公钥并在 QROM 下给出 EUF-CMA 证明，安全性依赖 UOV 难题与新增的 QR-MQ 假设（要求 f 取不可约以抵御结构攻击）；相较传统 UOV，公钥显著更小且签名与验证保持短时延，与格基方案相比公钥通常更大但签名更短、验证更快。,正在接受 NIST 额外第二轮的评估。
SNOVA,签名,多变量,Multivariate Quadratic (MQ) problem and Unbalanced Oil-and-Vinegar Indistinguishability (UOV-IND)  problem,Lih-Chung Wang 等,http://snova.pqclab.org/,https://github.com/open-quantum-safe/liboqs/tree/main/src/sig/snova,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/snova-spec-round2-web.pdf,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-1/official-comments/SNOVA-round1-dig-sig-official-comment.pdf,SNOVA 是将 UOV 签名迁移到非交换矩阵环并结合“随机性对齐”压缩公钥的改进型多变量方案，安全性基于多变量二次方程求解难度与对 UOV 结构的恢复/伪造攻击不可行的假设；第二轮通过改造公共映射与参数（含新增 l=5）在保证安全的同时把公钥做到了约 1 KB、签名约 250 B 且验证较快；与格基/哈希基相比通常公钥偏大但签名更短、验证更快，而较传统 UOV 则以适度复杂度换取显著更小的公钥。,正在接受 NIST 额外第二轮的评估。
UOV,签名,多变量,Multivariate Quadratic (MQ) problem and Unbalanced Oil-and-Vinegar (UOV)  problem,Ward Beullens 等,https://www.uovsig.org/,https://github.com/open-quantum-safe/liboqs/tree/main/src/sig/uov,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/uov-spec-round2-web.pdf,,UOV 是一种不平衡油-醋（Unbalanced Oil-and-Vinegar）多变量签名：采用哈希-签名范式，以陷门多变量二次映射为核心，安全性建立在多变量二次方程（MQ）求解困难与 UOV 公钥映射不可逆的假设上；性能上拥有更短签名、更快签名与与 Dilithium 相当且快于 Falcon/SPHINCS+ 的验证，但公钥显著更大（经典 L1 约 272KB，压缩版可降至约 43KB 但验证变慢）。,正在接受 NIST 额外第二轮的评估。
FAEST,签名,哈希,Pseudorandomness Assumption for AES and Hash Function,Carsten Baum 等,https://faest.info/,https://github.com/faest-sign,https://csrc.nist.gov/csrc/media/Projects/pqc-dig-sig/documents/round-2/spec-files/faest-spec-round2-web.pdf,,FAEST 是一种基于对称密码的一次性函数并结合 VOLE in the Head 与 QuickSilver 证明的后量子签名，安全性在随机预言机与量子随机预言机模型下主要依赖 AES 与哈希等对称原语及 VOLEitH 的安全性质；与 Picnic、Banquet 等方案相比，FAEST 签名更紧凑、验证更快，且实现只需标准 AES 和 SHAKE。,正在接受 NIST 额外第二轮的评估。























































