算法名,算法用途,算法困难问题类型,具体算法困难问题,作者团队,官网链接,源代码链接,标准化文件链接,所有评论,算法特色简介,算法后续进展
Post-quantum RSA-Encryption,密钥封装 ,大数分解,Integer Factorization Problem (IFP),Daniel J. Bernstein等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/PostQuantum_RSA_Enc.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/PostQuantum_RSA/doc.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/post-quantum-RSA-encryption-official-comment.pdf,"Daniel J. Bernstein, Josh Fried, Nadia Heninger, Paul Lou, Luke Valenta",
Post-quantum RSA-Signature,签名,大数分解,Integer Factorization Problem (IFP),Daniel J. Bernstein等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/PostQuantum_RSA_Sign.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/PostQuantum_RSA_Sign/doc.pdf,,Post-quantum RSA (pqRSA) 是一种提供签名、KEM 和 PKE 的公钥密码系统 。其安全假设基于大数分解（Integer Factorization）的困难性 ；它通过使用由“许多相对较小的”秘密素数 构成的“极其巨大”的模数 (N) ，来抵御包括 Shor 算法在内的量子攻击 。与许多其他后量子方案相比，pqRSA 的效率较低 且密钥尺寸巨大 ，但它使用 E=3 这样的小指数 使合法用户的计算（如解密和签名）保持可行 ，其主要优势是简单、熟悉 且具有很高的前量子置信度 。,
pqNTRUsign,签名 ,格,NTRU and LWT,Jeffrey Hoffstein等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/pqNTRUsign.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/pqNTRUsign/pqNTRUsign.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/pqNTRUsign-official-comment.pdf,pqNTRUSign 是一种基于模块化格的数字签名方案 。其公钥安全性基于 NTRU 假设 ，伪造安全性基于 NTRU 格上的截断学习 (LWT) 问题 ，并通过拒绝采样提供签本安全 。与其他基于格的签名方案相比，该方案的特点是使用了最高效、经受了 20 年密码分析的 NTRU 陷门 ，并提供“采样器灵活性” (sampler agility)，允许用户选择使用均匀采样器或高斯采样器 。,
pqsigRM,签名 ,编码,RM code distinguishability problem and Hardness of complete decoding,Wijik Lee等,https://sites.google.com/view/pqsigrm/home,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/pqsigRM.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/pqsigRM/doc.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/pqsigRM-official-comment.pdf,pqsigRM 是一种基于编码的数字签名方案，它通过使用带随机插入的“删截 RM 码”(punctured Reed-Muller code) 5555改进了 CFS 方案 6666。其安全假设基于 RM 码可区分性问题（即公钥在计算上与随机矩阵不可区分 7777）和完全解码的困难性 8888。与依赖 Goppa 码且 $t$ 值受限的 CFS 方案不同 9，pqsigRM 利用 RM 码的高效完全解码能力 10，允许使用更大的错误权重参数 $w$ 11，并通过修改（删截和插入）来抵抗针对标准 RM 码的结构性攻击（如 Minder-Shokrollahi 攻击 12121212）。,
QC-MDPC KEM,密钥封装 ,编码,Computational Syndrome Decoding (CSD) Problem,Atsushi Yamada等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/QC_MDPC_KEM.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/QC-MDPC KEM - Atsushi Yamada/Supporting_Documentation.pdf,,QC-MDPC KEM 是一种基于 QC-MDPC McEliece 加密方案的密钥封装机制 (KEM) 。其安全假设基于解决随机准循环 (QC) 线性码的计算综合征解码问题 (CSDP) 的困难性 。与使用代数码（如 Goppa 码）的原始 McEliece 方案不同，该方案使用 QC-MDPC（一种图基编码） ，旨在避免代数结构攻击 ；其优势在于密钥相对紧凑且安全性经过了充分研究 。该方案的主要限制是存在解码失败，使其在静态（非临时）使用时易受 GJS 等密钥恢复攻击 ，因此该方案被提议仅用于临时密钥交换 。,
RaCoSS,签名 ,格,Mersenne Low Hamming Combination Assumption,Divesh Aggarwal等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/RaCoSS.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/RaCoSS/Specifications.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/RaCoSS-official-comment.pdf,这是一种基于梅森素数模运算的公钥密码系统 (PKE) 和密钥封装机制 (KEM) 3333333。其安全假设基于新提出的“Mersenne 低汉明重量组合假设” 4，即在梅森素数 $p=2^n-1$ 下，从 $T=F\cdot R+G \pmod p$ 中恢复低汉明重量的 F 和 G 是困难的 5。该方案被视为 LWE/NTRU 范式的一种简单实现 6666，它使用汉明重量作为“小”的度量，并利用梅森素数（乘 2 的幂等于循环移位）保持汉明重量不变的特性 7；其 KEM 版本在随机预言模型下可抵抗 CCA 攻击 8。,
Ramstake,密钥封装 ,编码,Indistinguishability of Generalized Gabidulin Codes and Rank Syndrome Decoding(RSD),Alan Szepieniec,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Ramstake.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/ramstake/ramstake.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Ramstake-official-comment.pdf,Ramstake 是一种基于纠错码（秩度量）的密钥封装机制 (KEM) ，其安全性基于广义 (Gabidulin) 码的不可区分性和秩综合征解码 (RSD) 问题的困难性 。该方案的主要特点是提供了非常小的密钥和密文体积 ，但其密钥生成速度相对较慢 。,
RankSign,签名 ,编码,Rank Syndrome Decoding (RSD) Problem,"Gaborit, Ruatta等",,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/RankSign.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/RankSign/Supporting_Documentation.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/RankSign-official-comment.pdf,RankSign 是一种基于秩度量 和低秩校验 (LRPC) 码 的 code-based 签名方案 。其安全假设基于秩综合征解码 (RSD) 问题的困难性 。该方案的特点是签名尺寸非常短 ，签名和验证速度非常快 。与 CFS 或 STERN 等基于汉明度量的方案相比，其公钥“小得多” ，但文档也指出其一个主要缺点是公钥尺寸“大” 。,
RLCE,密钥封装 ,多变量,Solving Systems of Multivariate Quadratic Equations over a Finite Field,Jintai Ding等,http://quantumca.org/,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/RLCE.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/RLCE/2.AlgorithmSpecificationsAndSupportingDocumentation.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/RLCE-KEM-official-comment.pdf,Rainbow 是一种多元数字签名方案，是 HFE（隐蔽域方程）密码体制的一个变种 。其安全假设基于求解有限域上多元二次多项式方程组（MQ-problem）的困难性 。它的核心特点是使用分层的二次多项式构建中心映射，并由两个仿射映射隐藏，这种结构使得签名生成和验证速度非常快，并且签名非常简短 ；其主要缺点是公钥尺寸相对于 RSA 而言非常大 。,
RVB,密钥封装 ,编码,Syndrome Decoding Problem,Car-Sten-v-on-Bax等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/RVB.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/RVB/rvb_algorithm.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/RVB-official-comment.pdf,"RVB 是一种基于编码的公钥密码系统，是 McEliece 密码体制的一个变种。其安全假设基于综合征解码问题 (SDP) 的困难性，以及公钥生成矩阵与随机矩阵的不可区分性。与使用 Goppa 码的传统 McEliece 方案不同，该方案使用 Reed-Muller (RM) 码（具体为其 $RM(2,m)$ 码的一个子码）的生成矩阵的子矩阵来构造公钥，旨在避免针对 Goppa 码代数结构的攻击，并实现高效的密钥生成。",
SRTPI,签名和密钥封装 ,编码,Syndrome Decoding (SD) Problem for Quasi-Cyclic (QC) Binary Goppa Codes,Tung Chou等,,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/SRTPI.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/SRTPI/Algorithm Specifications And Supporting Documentation.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/SRTPI-official-comment.pdf,Compact McEliece 是一种公钥加密方案和密钥封装机制 (KEM) 。其安全假设基于准循环二元 Goppa 码的综合征解码问题的困难性，以及其公钥与随机线性码的不可区分性 。与经典的 McEliece 方案相比，它的主要优势是公钥尺寸小得多 ；但其缺点是密钥生成、加密和解密速度均慢于大多数其他后量子方案 。,
Titanium,密钥封装 ,格,LWE ,Ron Steinfeld等,https://users.monash.edu.au/~rste/Titanium.html,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/Titanium.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/Titanium/Titanium_NISTSub.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/Titanium-official-comment.pdf,Titanium 是一种基于格的公钥加密 (PKE) 和密钥封装 (KEM) 方案 ，其安全假设基于标准 LWE 问题的困难性 。该方案的主要特点是使用“确定性”噪声 ，与使用“新鲜”高斯噪声的方案（如 Frodo）相比，这使其公钥和密文体积显著更小、性能更高 ，并且它避免了 Ring-LWE 方案的额外代数结构 。,
WalnutDSA,签名,辫群,E-Multiplication,Iris Anshel等,https://www.securerf.com/nist-community-analysis,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/submissions/WalnutDSA.zip,https://github.com/sageblue000/pqc_collect/blob/master/Supporting_Documentation/NIST_round1/WalnutDSA/walnutdsa.pdf,https://csrc.nist.gov/CSRC/media/Projects/Post-Quantum-Cryptography/documents/round-1/official-comments/WalnutDSA-official-comment.pdf,WalnutDSA 是一种基于 E-Multiplication 的抗量子数字签名算法 。其安全假设基于 E-Multiplication 作为一种群论单向函数的困难性 。该方案的主要特点是专为受限设备设计，运行速度极快且代码量小，允许低功耗设备快速、廉价地验证数字签名 。,
